row_id,Product,Subsystem,SystemElement,Function,FailureMode,FailureCause,FailureEffect,PreventiveMeasure,DetectiveMeasure,SeverityRating,OccurrenceRating,DetectionRating
152,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Leakage crankcase (outside) over time,Nozzle holder,"Progressive oil leakage outside crankcase over time, reduced sealing effectiveness",,,,,
153,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Leakage crankcase (outside) over time,O-Ring design,"Progressive oil leakage outside crankcase over time, reduced sealing effectiveness",,,,,
154,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Leakage of oil inside crankcase,Crankcase design,Oil gallery pressure drop due to internal leakage,,,,,
155,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Leakage of oil inside crankcase,"Assembly process / Design for assembly (alignment, bolted joint)",Oil gallery pressure drop due to internal leakage,,,,,
156,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Leakage of oil inside crankcase,Geometry tolerances,Oil gallery pressure drop due to internal leakage,,,,,
157,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Leakage of oil inside crankcase,"Incorrect maintenance activity (alignment, bolted joint)",Oil gallery pressure drop due to internal leakage,,,,,
158,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Leakage of oil inside crankcase,Not machined to spec,Oil gallery pressure drop due to internal leakage,,,,,
159,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Leakage of oil inside crankcase,Nozzle holder,Oil gallery pressure drop due to internal leakage,,,,,
160,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Not opening at the desired pressure,"Assembly process / Design for assembly (alignment, bolted joint)",Main bearing failure due to improper oil flow regulation,,,,,
161,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Not opening at the desired pressure,Carbon deposit from oil,Main bearing failure due to improper oil flow regulation,,,,,
162,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Not opening at the desired pressure,Check-Valve design,Main bearing failure due to improper oil flow regulation,,,,,
163,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Not opening at the desired pressure,Check-Valve wear,Main bearing failure due to improper oil flow regulation,,,,,
164,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Not opening at the desired pressure,Cleanliness,Main bearing failure due to improper oil flow regulation,,,,,
165,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Not opening at the desired pressure,Geometry tolerances,Main bearing failure due to improper oil flow regulation,,,,,
166,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Not opening at the desired pressure,Not machined to spec,Main bearing failure due to improper oil flow regulation,,,,,
167,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Not opening at the desired pressure,Nozzle holder,Main bearing failure due to improper oil flow regulation,,,,,
168,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Not opening at the desired pressure,Pressure fluctuation from the lubrication system,Main bearing failure due to improper oil flow regulation,,,,,
169,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Not opening at the desired pressure,Vibration,Main bearing failure due to improper oil flow regulation,,,,,
170,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Too little oil,Crankcase design,Piston seizure caused by insufficient lubrication,,,,,
171,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Too little oil,"Assembly process / Design for assembly (alignment, bolted joint)",Piston seizure caused by insufficient lubrication,,,,,
172,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Too little oil,Carbon deposit from oil,Piston seizure caused by insufficient lubrication,,,,,
173,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Too little oil,Check-Valve design,Piston seizure caused by insufficient lubrication,,,,,
174,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Too little oil,Geometry tolerances,Piston seizure caused by insufficient lubrication,,,,,
175,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Too little oil,"Incorrect maintenance activity (alignment, bolted joint)",Piston seizure caused by insufficient lubrication,,,,,
176,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Too little oil,Not machined to spec,Piston seizure caused by insufficient lubrication,,,,,
177,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Too little oil,Nozzle holder,Piston seizure caused by insufficient lubrication,,,,,
178,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Too little oil,Nozzle wear,Piston seizure caused by insufficient lubrication,,,,,
179,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Too little oil,PCJN design,Piston seizure caused by insufficient lubrication,,,,,
180,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Too little oil,Piston gallery design,Piston seizure caused by insufficient lubrication,,,,,
181,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Too little oil,Pressure fluctuation from the lubrication system,Piston seizure caused by insufficient lubrication,,,,,
182,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,No oil,Crankcase design,Piston seizure caused by complete loss of lubrication,,,,,
183,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,No oil,"Assembly process / Design for assembly (alignment, bolted joint)",Piston seizure caused by complete loss of lubrication,,,,,
184,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,No oil,Carbon deposit from oil,Piston seizure caused by complete loss of lubrication,,,,,
185,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,No oil,Check-Valve design,Piston seizure caused by complete loss of lubrication,,,,,
186,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,No oil,Geometry tolerances,Piston seizure caused by complete loss of lubrication,,,,,
187,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,No oil,"Incorrect maintenance activity (alignment, bolted joint)",Piston seizure caused by complete loss of lubrication,,,,,
188,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,No oil,Not machined to spec,Piston seizure caused by complete loss of lubrication,,,,,
189,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,No oil,Nozzle holder,Piston seizure caused by complete loss of lubrication,,,,,
190,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,No oil,Nozzle wear,Piston seizure caused by complete loss of lubrication,,,,,
191,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,No oil,PCJN design,Piston seizure caused by complete loss of lubrication,,,,,
192,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,No oil,Piston gallery design,Piston seizure caused by complete loss of lubrication,,,,,
193,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,No oil,Pressure fluctuation from the lubrication system,Piston seizure caused by complete loss of lubrication,,,,,
194,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Intermittent oil,Crankcase design,Piston scuff caused by fluctuating lubrication,,,,,
195,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Intermittent oil,"Assembly process / Design for assembly (alignment, bolted joint)",Piston scuff caused by fluctuating lubrication,,,,,
196,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Intermittent oil,Carbon deposit from oil,Piston scuff caused by fluctuating lubrication,,,,,
197,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Intermittent oil,Check-Valve design,Piston scuff caused by fluctuating lubrication,,,,,
198,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Intermittent oil,Geometry tolerances,Piston scuff caused by fluctuating lubrication,,,,,
199,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Intermittent oil,"Incorrect maintenance activity (alignment, bolted joint)",Piston scuff caused by fluctuating lubrication,,,,,
200,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Intermittent oil,Not machined to spec,Piston scuff caused by fluctuating lubrication,,,,,
201,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Intermittent oil,Nozzle holder,Piston scuff caused by fluctuating lubrication,,,,,
202,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Intermittent oil,Nozzle wear,Piston scuff caused by fluctuating lubrication,,,,,
203,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Intermittent oil,PCJN design,Piston scuff caused by fluctuating lubrication,,,,,
204,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Intermittent oil,Piston gallery design,Piston scuff caused by fluctuating lubrication,,,,,
205,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Intermittent oil,Pressure fluctuation from the lubrication system,Piston scuff caused by fluctuating lubrication,,,,,
206,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Contact to piston,Crankcase design,Piston seizure due to mechanical interference,,,,,
207,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Contact to piston,"Assembly process / Design for assembly (alignment, bolted joint)",Piston seizure due to mechanical interference,,,,,
208,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Contact to piston,Geometry tolerances,Piston seizure due to mechanical interference,,,,,
209,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Contact to piston,"Incorrect maintenance activity (alignment, bolted joint)",Piston seizure due to mechanical interference,,,,,
210,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Contact to piston,Not machined to spec,Piston seizure due to mechanical interference,,,,,
211,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Contact to piston,Nozzle holder,Piston seizure due to mechanical interference,,,,,
212,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Contact to piston,PCJN design,Piston seizure due to mechanical interference,,,,,
213,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Contact to piston,Piston,Piston seizure due to mechanical interference,,,,,
214,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Contact to crankshaft,Crankcase design,Piston seizure due to mechanical interference,,,,,
215,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Contact to crankshaft,"Assembly process / Design for assembly (alignment, bolted joint)",Piston seizure due to mechanical interference,,,,,
216,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Contact to crankshaft,Crankshaft,Piston seizure due to mechanical interference,,,,,
217,Gas Engine Type 4,Engine Block,Piston cooling jet (PCJ),Sealing of main oil gallery,Contact to crankshaft,Geometry tolerances,Piston seizure due to mechanical interference,,,,,
