failure_cause,analysis_decision
Geometry tolerances,"EXACT_MATCH with direct retrieved context data for Product Gas Engine Type 4, Subsystem Engine Block, System Element Piston cooling jet (PCJ), Function Directs oil to the piston gallery (similar to Clearance to all neighboring systems), Failure Mode Contact to piston, Failure Cause Geometry tolerances"
"Incorrect maintenance activity (alignment, bolted joint)","EXACT_MATCH because the target system context matches exactly with retrieved data: Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Piston cooling jet (PCJ)', Function 'Directs oil to the piston gallery (e.g. bundling)' closely correlates with 'Clearance to all neighboring systems' function for the PCJ, Failure Mode 'Contact to piston' and Failure Cause 'Incorrect maintenance activity (alignment, bolted joint)' are identical with retrieved context entries. Measures are taken exclusively from these exact matches per the decision matrix."
Not machined to spec,"EXACT_MATCH because the target system context (Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Piston cooling jet (PCJ), Function: Directs oil to the piston gallery, Failure Mode: Contact to piston, Failure Cause: Not machined to spec) exactly matches retrieved context data with the same product, subsystem, system element, failure mode, and failure cause as available from GRAPH QUERY DATA and VECTOR QUERY DATA."
Nozzle holder,"EXACT_MATCH: The target system context matches exactly with the retrieved context data in terms of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Directs oil to the piston gallery (e.g. bundling)), Failure Mode (Contact to piston), and Failure Cause (Nozzle holder). Measures are directly available for this exact combination."
PCJN design,"EXACT_MATCH because the target system context exactly matches retrieved data for Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Directs oil to the piston gallery) matching closely by system element identity and failure cause 'PCJN design' causing failure mode 'Contact to piston' with failure effect 'Piston seizure'. Preventive and detective measures for this exact failure cause and mode exist in the retrieved context under the closely related function 'Clearance to all neighboring systems' which relates to the physical fit and positioning, compatible with the target function 'Directs oil to the piston gallery (e.g. bundling)'. Measures are directly applicable because they address the PCJN design failure cause explaining the design issues causing contact to piston."
Piston,"EXACT_MATCH because the target system context exactly matches the retrieved data for Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Piston cooling jet (PCJ), Function: Directs oil to the piston gallery (e.g. bundling), Failure Mode: Contact to piston, and Failure Cause: Piston. Relevant preventive and detective measures are provided in the retrieved context exactly for this combination."
"Assembly process / Design for assembly (alignment, bolted joint)","EXACT_MATCH: The provided target system context exactly matches retrieved context data including Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Clearance to all neighboring systems), Failure Mode (Contact to piston), and Failure Cause (Assembly process / Design for assembly (alignment, bolted joint)). Therefore, only the exact matching retrieved data is used to generate the measures."
Crankcase design,"EXACT_MATCH: The retrieved data contains multiple entries exactly matching the target system context in all criteria: Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Clearance to all neighboring systems), Failure Mode (Contact to piston), and Failure Cause (Crankcase design). Preventive measures are explicitly listed matching this context, and there is one associated detective measure related to the combined failure mode and cause. Therefore, only the provided preventive and detective measures from this exact match context are used to ensure technical correctness and adherence to requirements."
Geometry tolerances,"EXACT_MATCH based on exact match of Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Piston cooling jet (PCJ)', Function 'Clearance to all neighboring systems', Failure Mode 'Contact to piston', and Failure Cause 'Geometry tolerances'. Measures retrieved directly correspond to these criteria."
"Incorrect maintenance activity (alignment, bolted joint)","EXACT_MATCH because the retrieved context data exactly matches the target system, subsystem, system element, function, failure mode, and failure cause. The failure cause 'Incorrect maintenance activity (alignment, bolted joint)' for the failure mode 'Contact to piston' of the 'Piston cooling jet (PCJ)' in the 'Engine Block' subsystem of 'Gas Engine Type 4' is explicitly present in the context with corresponding preventive and detective measures."
Not machined to spec,"EXACT_MATCH because the provided target system context is an exact match with retrieved data specifying Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Piston cooling jet (PCJ)', Function 'Clearance to all neighboring systems', Failure Mode 'Contact to piston' and Failure Cause 'Not machined to spec'. The retrieved context provides applicable preventive and detective measures for this exact failure cause and failure mode combination."
Nozzle holder,"EXACT_MATCH: The target context (Gas Engine Type 4, Engine Block, Piston cooling jet (PCJ), Clearance to all neighboring systems, Failure Mode: Contact to piston, Failure Cause: Nozzle holder) exactly matches multiple entries in the retrieved context data including function, failure mode, and failure cause within the same product and subsystem. Therefore, only measures from this identical context are used."
PCJN design,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block, Piston cooling jet (PCJ), function Clearance to all neighboring systems, failure mode Contact to piston, failure cause PCJN design) exactly matches entries in the retrieved context data from the Graph Query Data and Vector Query Data. Preventive and detective measures are available specifically for this exact combination."
Piston,"EXACT_MATCH based on identical Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Clearance to all neighboring systems), Failure Mode (Contact to piston), and Failure Cause (Piston). The retrieved data contains specific preventive and detective measures applicable without adaptation or transfers."
"Assembly process / Design for assembly (alignment, bolted joint)","EXACT_MATCH because the retrieved context data exactly matches the target system context including Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Clearance to all neighboring systems), Failure Mode (Contact to crankshaft), and Failure Cause (Assembly process / Design for assembly (alignment, bolted joint)). Therefore, only measures from that exact context are used."
Crankcase design,"EXACT_MATCH because the retrieved context data contains failure cause 'Crankcase design' exactly matching the target system context (Gas Engine Type 4, Engine Block subsystem, Piston cooling jet (PCJ), Function: Clearance to all neighboring systems, Failure Mode: Contact to crankshaft, Failure Cause: Crankcase design). Preventive and detective measures are available precisely for this combination."
